"Source:","C:\Users\joser\OneDrive\Escritorio\electiva\Proyecto\Proyecto.kicad_sch"
"Date:","30/6/2022 10:22:01 p. m."
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10uF","Device:C","","~"
"","","C2","100nF","Device:C","","~"
"","","C3","100nF","Device:C","","~"
"","","C4","22uF","Device:C","","~"
"","","C5","22uF","Device:C","","~"
"","","C6","100nF","Device:C","","~"
"","","IC1","MC9S08MP16xLC","MCU_NXP_S08:MC9S08MP16xLC","Package_QFP:LQFP-32_7x7mm_P0.8mm","http://cache.nxp.com/files/microcontrollers/doc/ref_manual/MC9S08MP16RM.pdf"
"","","J1","Conn_01x08","Connector_Generic:Conn_01x08","","~"
"","","J2","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"","","J3","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"","","J4","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"","","J5","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"","","J6","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"","","J7","Conn_01x03","Connector_Generic:Conn_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"","","J8","Conn_01x02","Connector_Generic:Conn_01x02","","~"
"","","J9","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"","","J10","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"","","J11","Conn_01x08_Male","Connector:Conn_01x08_Male","","~"
"","","J12","Conn_01x07_Male","Connector:Conn_01x07_Male","","~"
"","","J13","Conn_01x04_Male","Connector:Conn_01x04_Male","","~"
"","","K1","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"","","K2","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"","","K3","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"","","K4","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"","","L1","L","Device:L","","~"
"","","Q1","IRF3205","Transistor_FET:IRF3205","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf3205.pdf"
"","","Q2","IRF3205","Transistor_FET:IRF3205","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf3205.pdf"
"","","R1","1k","Device:R","","~"
"","","R2","1k","Device:R","","~"
"","","U1","ULN2803A","Transistor_Array:ULN2803A","","http://www.ti.com/lit/ds/symlink/uln2803a.pdf"
"","","U2","MIC4427","Driver_FET:MIC4427","","http://ww1.microchip.com/downloads/en/DeviceDoc/mic4426.pdf"
"","","U3","AP63205WU","Regulator_Switching:AP63205WU","Package_TO_SOT_SMD:TSOT-23-6","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10uF","Device:C","","~"
"2","3","C2, C3, C6","100nF","Device:C","","~"
"3","2","C4, C5","22uF","Device:C","","~"
"4","1","IC1","MC9S08MP16xLC","MCU_NXP_S08:MC9S08MP16xLC","Package_QFP:LQFP-32_7x7mm_P0.8mm","http://cache.nxp.com/files/microcontrollers/doc/ref_manual/MC9S08MP16RM.pdf"
"5","1","J1","Conn_01x08","Connector_Generic:Conn_01x08","","~"
"6","7","J2, J3, J4, J5, J6, J9, J10","Conn_01x03","Connector_Generic:Conn_01x03","","~"
"7","1","J7","Conn_01x03","Connector_Generic:Conn_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"8","1","J8","Conn_01x02","Connector_Generic:Conn_01x02","","~"
"9","1","J11","Conn_01x08_Male","Connector:Conn_01x08_Male","","~"
"10","1","J12","Conn_01x07_Male","Connector:Conn_01x07_Male","","~"
"11","1","J13","Conn_01x04_Male","Connector:Conn_01x04_Male","","~"
"12","4","K1, K2, K3, K4","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"13","1","L1","L","Device:L","","~"
"14","2","Q1, Q2","IRF3205","Transistor_FET:IRF3205","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf3205.pdf"
"15","2","R1, R2","1k","Device:R","","~"
"16","1","U1","ULN2803A","Transistor_Array:ULN2803A","","http://www.ti.com/lit/ds/symlink/uln2803a.pdf"
"17","1","U2","MIC4427","Driver_FET:MIC4427","","http://ww1.microchip.com/downloads/en/DeviceDoc/mic4426.pdf"
"18","1","U3","AP63205WU","Regulator_Switching:AP63205WU","Package_TO_SOT_SMD:TSOT-23-6","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf"
